wgs84_LNG,wgs84_LAT
113.3289791,23.06699036
113.3451249,23.06692325
113.3003751,23.06165795
113.3003716,23.06996619
113.3487232,23.06023188
113.3487211,23.06355514
113.3487258,23.05690863
113.3253966,23.07362005
113.3039522,23.05673013
113.352318,23.06350177
113.3343676,23.05037792
113.3487196,23.06687843
113.3218207,23.06362247
113.3200305,23.06692831
113.3093054,23.0684469
113.316457,23.06190214
113.2985881,23.0616302
113.3343659,23.05203956
113.3523158,23.06848671
113.3505226,23.05854454
113.2985843,23.07492349
113.348719,23.06854008
113.3487182,23.07352511
113.2950094,23.07320919
113.316456,23.06356377
113.3254029,23.0586652
113.309305,23.07010856
113.2985842,23.0732618
113.3164551,23.06522541
113.3343729,23.04539295
113.3182448,23.06192376
113.3487221,23.06189351
113.3218199,23.06528411
113.3110915,23.0717975
113.2950214,23.05160783
113.3200429,23.050312
113.3343711,23.04705462
113.3164685,23.0486091
113.3128788,23.07016206
113.3433274,23.07026533
113.3218192,23.06694575
113.3379462,23.06033546
113.3523151,23.07181005
113.3182459,23.06026213
113.3146664,23.06852532
113.3200367,23.05695851
113.3218217,23.06196083
113.3128804,23.06517709
113.3254056,23.05534195
113.307518,23.07506558
113.3469311,23.05360896
113.3397362,23.07029481
113.3021734,23.04839327
113.3451243,23.06858491
113.3505214,23.06020616
113.3075181,23.0717422
113.3110989,23.05684271
113.3361476,23.07031292
113.3361593,23.05203492
113.3128792,23.06850039
113.3075241,23.05844904
113.3003866,23.04836491
113.3057363,23.06008213
113.3075229,23.06011066
113.3361472,23.07363628
113.3415315,23.07028145
113.3075218,23.06177229
113.3433283,23.06694201
113.3451235,23.07356993
113.3164535,23.07021038
113.2985871,23.06329183
113.3039468,23.06503828
113.3415319,23.06861978
113.343327,23.07358869
113.3200446,23.04865035
113.3469295,23.05527058
113.3307767,23.05702479
113.3218253,23.05697596
113.3236083,23.06696083
113.3236145,23.05699103
113.2950198,23.05326946
113.3128797,23.06683873
113.3218268,23.05531433
113.323609,23.06529918
113.296797,23.07323492
113.3271931,23.05867508
113.3200481,23.04532702
113.3469235,23.06357872
113.2950183,23.05493109
113.3307796,23.05370154
113.3289839,23.05868218
113.3110922,23.06847416
113.3128846,23.05853056
113.346921,23.07022533
113.3271919,23.0603367
113.2950144,23.05991596
113.3469245,23.06191708
113.3110953,23.06182759
113.3021601,23.06500958
113.2968159,23.04498696
113.3289852,23.05702056
113.3128859,23.05686894
113.3397366,23.06863315
113.3003884,23.04670325
113.3110928,23.06681251
113.3021594,23.06667123
113.2968106,23.04997193
113.3271974,23.0536902
113.3397372,23.06697149
113.2968019,23.0599417
113.3057327,23.06672868
113.318243,23.06524703
113.3271958,23.05535183
113.3433332,23.05863383
113.321835,23.04700613
113.3271944,23.05701345
113.3523189,23.06184014
113.2985996,23.04833716
113.3397513,23.04869353
113.3057352,23.06174376
113.3397495,23.05035518
113.3110943,23.06348922
113.3379425,23.06698201
113.3487183,23.07186342
113.3057334,23.06506703
113.3218186,23.06860741
113.3093075,23.06346196
113.3164544,23.06688706
113.3039601,23.04842197
113.3057313,23.07337536
113.3182563,23.04863072
113.3146731,23.05689387
113.2985846,23.06993844
113.3093085,23.06180032
113.3164539,23.06854872
113.298585,23.06827677
113.2967999,23.06326496
113.3307705,23.06699459
113.352315,23.07513343
113.3110914,23.07512088
113.3039451,23.07002325
113.2950123,23.06323922
113.3128784,23.07514711
113.2968032,23.05828007
113.3110914,23.07345919
113.3200312,23.06526667
113.3128823,23.06185381
113.3075209,23.06343392
113.3003726,23.06664287
113.3003713,23.07495124
113.3505178,23.06685271
113.3021642,23.05836305
113.3146706,23.06021712
113.3325701,23.05536448
113.3128813,23.06351545
113.3003733,23.06498122
113.3289967,23.04538907
113.2950102,23.06822417
113.336148,23.06865126
113.296799,23.0649266
113.3075183,23.07008053
113.3021582,23.07165622
113.3200396,23.05363526
113.3451256,23.06526161
113.3003741,23.06331958
113.3379441,23.06365872
113.2967983,23.06658824
113.3379411,23.07362869
113.3057388,23.05675888
113.3505172,23.06851437
113.3003787,23.05667307
113.3325732,23.05204122
113.3325674,23.05868772
113.3505164,23.07349939
113.3271908,23.06199833
113.3236073,23.07028415
113.3523171,23.06516341
113.3379433,23.06532036
113.2985856,23.06661512
113.3021581,23.0749796
113.3271882,23.06698325
113.3111068,23.04853455
113.3200321,23.06360502
113.2950096,23.0715475
113.3343547,23.0686559
113.3415465,23.04868017
113.3325716,23.05370285
113.3272059,23.04538196
113.2950265,23.0466229
113.3505185,23.06519106
113.3200412,23.05197363
113.3146669,23.06686367
113.3218228,23.0602992
113.3236071,23.07194582
113.3379487,23.05701221
113.3487337,23.04860047
113.3254071,23.05368032
113.2967978,23.0682499
113.3254016,23.06032682
113.3307881,23.0453933
113.3254042,23.05700357
113.3093096,23.06013869
113.3307781,23.05536317
113.2967974,23.06991157
113.302177,23.04506994
113.2950156,23.05825434
113.3325632,23.06533425
113.3289867,23.05535893
113.3343643,23.05370119
113.3361577,23.05369655
113.3325625,23.0669959
113.3021619,23.06168631
113.3289882,23.05369731
113.3505203,23.06186779
113.3361562,23.05535818
113.3415324,23.06695813
113.3021609,23.06334794
113.3451297,23.05861508
113.3075188,23.06841887
113.3379474,23.05867383
113.3110964,23.06016596
113.3075193,23.06675721
113.3505193,23.06352942
113.2985979,23.04999881
113.30752,23.06509556
113.2950115,23.06490086
113.2986031,23.04501383
113.3039476,23.06337664
113.2968124,23.04831029
113.3039486,23.061715
113.3182438,23.06358539
113.3415311,23.07360481
113.3451236,23.07190825
113.3057314,23.07503705
113.3093121,23.05681545
113.3164606,23.05691726
113.3253987,23.06531173
113.3039461,23.06669992
113.3343552,23.06699424
113.3039637,23.04509864
113.3523212,23.05851688
113.3057317,23.070052
113.3039497,23.06005338
113.3505168,23.07017603
113.3075369,23.04515592
113.325398,23.06697337
113.3093067,23.0651236
113.3057315,23.07171367
113.3021588,23.06833288
113.3146745,23.05523224
113.3469214,23.06856366
113.3110935,23.06515086
113.3039447,23.0733466
113.309306,23.06678524
113.2950108,23.06656251
113.3523164,23.06682506
113.3469219,23.066902
113.3379549,23.05036569
113.3003712,23.07328955
113.3469205,23.07354868
113.323626,23.04535954
113.3254005,23.06198845
113.3236078,23.06862248
113.3236159,23.0553294
113.3003713,23.07162786
